dsadsad
17,black,odd
0,green,null
4,black,even
7,red,odd
32,red,even
7,red,odd
10,black,even
31,black,odd
15,black,odd
10,black,even
14,red,even
24,black,even
20,black,even
7,red,odd
3,red,odd
35,black,odd
6,black,even
8,black,even
3,red,odd
10,black,even
27,red,odd
16,red,even
23,red,odd
31,black,odd
24,black,even
7,red,odd
31,black,odd
16,red,even
0,green,null
24,black,even
9,red,odd
15,black,odd
34,red,even
13,black,odd
16,red,even
13,black,odd
14,red,even
31,black,odd
19,red,odd
15,black,odd
21,red,odd
32,red,even
21,red,odd
25,red,odd
20,black,even
18,red,even
4,black,even
29,black,odd
0,green,null
2,black,even
25,red,odd
25,red,odd
11,black,odd
18,red,even
23,red,odd
26,black,even
31,black,odd
28,black,even
5,red,odd
20,black,even
19,red,odd
25,red,odd
26,black,even
29,black,odd
17,black,odd
26,black,even
4,black,even
7,red,odd
14,red,even
30,red,even
30,red,even
17,black,odd
19,red,odd
34,red,even
31,black,odd
8,black,even
23,red,odd
24,black,even
14,red,even
35,black,odd
30,red,even
17,black,odd
6,black,even
14,red,even
4,black,even
2,black,even
22,black,even
35,black,odd
12,red,even
10,black,even
35,black,odd
9,red,odd
33,black,odd
17,black,odd
14,red,even
19,red,odd
32,red,even
10,black,even
32,red,even
19,red,odd
19,red,odd
31,black,odd
25,red,odd
33,black,odd
2,black,even
11,black,odd
10,black,even
16,red,even
28,black,even
9,red,odd
17,black,odd
35,black,odd
11,black,odd
8,black,even
2,black,even
29,black,odd
15,black,odd
26,black,even
25,red,odd
20,black,even
7,red,odd
7,red,odd
2,black,even
24,black,even
7,red,odd
27,red,odd
32,red,even
20,black,even
22,black,even
34,red,even
16,red,even
33,black,odd
15,black,odd
3,red,odd
32,red,even
3,red,odd
34,red,even
5,red,odd
33,black,odd
12,red,even
21,red,odd
17,black,odd
17,black,odd
3,red,odd
14,red,even
8,black,even
10,black,even
18,red,even
12,red,even
13,black,odd
10,black,even
31,black,odd
33,black,odd
7,red,odd
15,black,odd
18,red,even
10,black,even
21,red,odd
11,black,odd
35,black,odd
11,black,odd
9,red,odd
11,black,odd
24,black,even
3,red,odd
13,black,odd
10,black,even
17,black,odd
14,red,even
1,red,odd
11,black,odd
35,black,odd
25,red,odd
30,red,even
10,black,even
15,black,odd
28,black,even
12,red,even
24,black,even
7,red,odd
2,black,even
35,black,odd
18,red,even
4,black,even
0,green,null
4,black,even
0,green,null
8,black,even
0,green,null
19,red,odd
26,black,even
4,black,even
9,red,odd
26,black,even
7,red,odd
19,red,odd
11,black,odd
31,black,odd
7,red,odd
31,black,odd
27,red,odd
14,red,even
8,black,even
28,black,even
3,red,odd
6,black,even
30,red,even
21,red,odd
7,red,odd
13,black,odd
13,black,odd
36,red,even
28,black,even
28,black,even
24,black,even
15,black,odd
15,black,odd
15,black,odd
19,red,odd
16,red,even
19,red,odd
25,red,odd
3,red,odd
19,red,odd
11,black,odd
35,black,odd
12,red,even
36,red,even
12,red,even
26,black,even
27,red,odd
16,red,even
22,black,even
11,black,odd
23,red,odd
15,black,odd
8,black,even
2,black,even
4,black,even
12,red,even
21,red,odd
2,black,even
4,black,even
24,black,even
9,red,odd
5,red,odd
12,red,even
7,red,odd
36,red,even
11,black,odd
16,red,even
29,black,odd
14,red,even
4,black,even
8,black,even
4,black,even
8,black,even
36,red,even
26,black,even
26,black,even
33,black,odd
35,black,odd
16,red,even
35,black,odd
7,red,odd
2,black,even
6,black,even
25,red,odd
25,red,odd
29,black,odd
31,black,odd
26,black,even
4,black,even
28,black,even
34,red,even
26,black,even
25,red,odd
18,red,even
15,black,odd
16,red,even
22,black,even
9,red,odd
2,black,even
3,red,odd
29,black,odd
19,red,odd
20,black,even
32,red,even
11,black,odd
8,black,even
26,black,even
18,red,even
10,black,even
8,black,even
12,red,even
27,red,odd
23,red,odd
28,black,even
30,red,even
12,red,even
33,black,odd
29,black,odd
23,red,odd
32,red,even
32,red,even
20,black,even
19,red,odd
10,black,even
3,red,odd
0,green,null
22,black,even
22,black,even
32,red,even
7,red,odd
30,red,even
15,black,odd
20,black,even
9,red,odd
30,red,even
2,black,even
24,black,even
17,black,odd
18,red,even
34,red,even
4,black,even
24,black,even
5,red,odd
2,black,even
8,black,even
8,black,even
30,red,even
32,red,even
8,black,even
35,black,odd
35,black,odd
19,red,odd
27,red,odd
14,red,even
10,black,even
34,red,even
4,black,even
12,red,even
4,black,even
18,red,even
9,red,odd
31,black,odd
26,black,even
28,black,even
31,black,odd
33,black,odd
28,black,even
28,black,even
0,green,null
1,red,odd
31,black,odd
36,red,even
17,black,odd
20,black,even
22,black,even
24,black,even
0,green,null
31,black,odd
0,green,null
12,red,even
15,black,odd
19,red,odd
30,red,even
29,black,odd
19,red,odd
31,black,odd
14,red,even
19,red,odd
8,black,even
30,red,even
5,red,odd
24,black,even
3,red,odd
10,black,even
6,black,even
24,black,even
24,black,even
2,black,even
26,black,even
25,red,odd
2,black,even
23,red,odd
22,black,even
16,red,even
3,red,odd
15,black,odd
14,red,even
31,black,odd
6,black,even
20,black,even
24,black,even
6,black,even
7,red,odd
5,red,odd
15,black,odd
24,black,even
1,red,odd
7,red,odd
6,black,even
35,black,odd
13,black,odd
22,black,even
21,red,odd
27,red,odd
2,black,even
28,black,even
18,red,even
2,black,even
13,black,odd
6,black,even
19,red,odd
30,red,even
18,red,even
34,red,even
14,red,even
27,red,odd
0,green,null
13,black,odd
22,black,even
1,red,odd
15,black,odd
28,black,even
2,black,even
22,black,even
10,black,even
33,black,odd
4,black,even
